_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,wcl_lat,wcl_lon
27797,26370049.0,train,-88.330625,-46.55602264404297,35.880242838332805,1800.0,Highway,52.50346971354718,13.27981824152271
27802,26370049.0,train,-91.473125,-46.160186767578125,33.236232903751926,1800.0,Highway,52.50346971354718,13.27981824152271
27805,26370049.0,train,-92.44375,-45.94579315185547,31.81779072034519,1800.0,Highway,52.50346971354718,13.27981824152271
27811,26370049.0,train,-90.335625,-46.051292419433594,32.51519908308046,1800.0,Highway,52.50346971354718,13.27981824152271
27815,26370049.0,train,-88.68138586956522,-46.60655212402344,36.220287223966196,1800.0,Highway,52.50346971354718,13.27981824152271
27865,26370049.0,train,-95.47708333333334,-58.27716827392578,174.25836691909143,1800.0,Highway,52.50346971354718,13.27981824152271
27871,26370049.0,train,-94.60855263157896,-58.76983642578125,184.69172640025138,1800.0,Highway,52.50346971354718,13.27981824152271
27875,26370049.0,train,-93.82,-59.22193908691406,194.787963891119,1800.0,Highway,52.50346971354718,13.27981824152271
27878,26370049.0,train,-94.666875,-59.60505676269531,203.75536516161466,1800.0,Highway,52.50346971354718,13.27981824152271
27882,26370049.0,train,-91.750625,-59.95137023925781,212.20211043751507,1800.0,Highway,52.50346971354718,13.27981824152271
27889,26370049.0,train,-88.768125,-60.48200988769531,225.80347959874777,1800.0,Highway,52.50346971354718,13.27981824152271
27894,26370049.0,train,-92.18,-60.714988708496094,232.038545293971,1800.0,Highway,52.50346971354718,13.27981824152271
45797,26370049.0,train,-104.224609375,-56.639015197753906,143.42432696344895,1800.0,Highway,52.50346971354718,13.27981824152271
77515,26370049.0,train,-97.99468085106383,-57.51130676269531,159.16992619236672,1800.0,Highway,52.50346971354718,13.27981824152271
77519,26370049.0,train,-99.344375,-57.47413635253906,158.46820999928656,1800.0,Highway,52.50346971354718,13.27981824152271
77531,26370049.0,train,-97.829375,-57.29576110839844,155.12286402679644,1800.0,Highway,52.50346971354718,13.27981824152271
77536,26370049.0,train,-100.49625,-57.16694641113281,152.76177809712902,1800.0,Highway,52.50346971354718,13.27981824152271
77541,26370049.0,train,-102.110625,-57.017677307128906,150.0606231412648,1800.0,Highway,52.50346971354718,13.27981824152271
77547,26370049.0,train,-99.32625,-56.7593994140625,145.50367664111596,1800.0,Highway,52.50346971354718,13.27981824152271
77552,26370049.0,train,-102.9362113402062,-56.64458465576172,143.5195181948316,1800.0,Highway,52.50346971354718,13.27981824152271
